name|category|beds|baths|sqft|address|price|phone|path|image
Armacost Bella by Wiseman|Apartment, West LA|Studio-4 Beds|1-3 Baths|400 to 1,668 Sq. Ft.|1439 Armacost Avenue, Los Angeles, CA 90025|$4,895.00|+1 310-562-2528|ca/los-angeles/armacost-bella/default.aspx|s3/2/9707/armacost%20bella%20-%20community%20thumbnail%20-%20resized.jpg
Kiowa Grand by Wiseman|Apartment, Brentwood|Studio-2 Beds|1-2 Baths|—|11972-11978 Kiowa Ave., Los Angeles, CA 90049|$3,450.00|+1 760-534-3408|ca/los-angeles/kiowa-grand-lp/default.aspx|s3/2/9707/rsz_11978_kiowa_ave_exterior_-04.jpg
Gretna Green Harlow by Wiseman|Apartment, Brentwood|1-3 Beds|2-3 Baths|—|809 S Gretna Green Way, Los Angeles, CA 90049|Call for Details|+1 310-775-5521|ca/los-angeles/gretna-green-harlow-lp/default.aspx|s3/2/9707/photo%20dec%2001%202022,%2012%2009%2033%20pm%20(2).jpg
Goshen Eighteen by Wiseman|Apartment|Studio-3 Beds|1-2 Baths|350 to 1,250 Sq. Ft.|12017 Goshen Ave, Los Angeles, CA 90049|$1,805.00 to $3,495.00|+1 213-444-3998|ca/los-angeles/goshen-eighteen-lp/default.aspx|s3/2/9707/12017%20goshen%20ave%20%20exterior-11(1).jpg
Goshen Bundy by Wiseman|Apartment|1-2 Beds|1-2 Baths|—|12033 Goshen Avenue, Los Angeles, CA 90049|$2,895.00 to $3,095.00|+1 310-473-3000|ca/los-angeles/goshen-bundy-lp/default.aspx|s3/2/9707/goshen%20bundy%20-%20community%20thumbnail.jpg
Gretna Green Tinos by Wiseman|Apartment, Brentwood|1-2 Beds|1-2.5 Baths|700 to 1,400 Sq. Ft.|818 Gretna Green Way, Los Angeles, CA 90049|$3,995.00 to $5,400.00|+1 310-775-5521|ca/los-angeles/gretna-green-tinos-lp/default.aspx|s3/2/9707/gretna%20green%20tinos%20-%20community%20thumbnail.jpg
Colby Missouri by Wiseman|Apartment, West LA|3 Beds|3 Baths|1,386 to 1,415 Sq. Ft.|1836 Colby Ave., Los Angeles, CA 90025|$4,945.00 to $5,195.00|+1 310-473-3000|ca/los-angeles/1836-colby-llc-0/default.aspx|s3/2/9707/rsz_1836_colby_exterior_1.jpg
Mayfield Hall by Wiseman|Apartment|1-2 Beds|1-2 Baths|—|11930 Mayfield Avenue, Los Angeles, CA 90049|$4,295.00|+1 323-972-0668|ca/los-angeles/mayfield-hallway/default.aspx|
Butler Eighteen by Wiseman|Apartment, West LA|Studio-2 Beds|1-2 Baths|550 to 1,176 Sq. Ft.|1845 Butler Ave, Los Angeles, CA 90025|$3,395.00 to $3,595.00|+1 760-534-3408|ca/los-angeles/butler-eighteen/default.aspx|s3/2/9707/1845%20butler%20ave%20unit%20107%20-25(1).jpg
Barrington Santa Monica by Wiseman|Apartment, West LA|Studio-2 Beds|1-3 Baths|600 to 1,300 Sq. Ft.|1561 South Barrington Ave., Los Angeles, CA 90025|$2,595.00 to $3,595.00|+1 760-534-3408|ca/los-angeles/barrington-santa-monica/default.aspx|s3/2/9707/rsz_1561_s_barrington_ave_exteriors-1.jpg
Motor Midway by Wiseman|Apartment|1-3 Beds|1-3 Baths|459 to 1,074 Sq. Ft.|3657 Motor Ave., Los Angeles, CA 90034|$3,395.00 to $4,795.00|+1 310-853-1532|ca/los-angeles/motor-midway-lp/default.aspx|s3/2/9707/rsz_3657_motor_ave_exterior-1.jpg
Colby Townhomes by Wiseman|Apartment, West LA|4-5 Beds|2.5-4 Baths|1,800 to 2,000 Sq. Ft.|1650 Colby Ave, Los Angeles, CA 90025|$5,050.00 to $6,295.00|+1 310-402-4547|ca/los-angeles/colby-townhomes/default.aspx|s3/3/90965/1650colby-105.jpg
Colby West by Wiseman|Apartment, West LA|1-3 Beds|1-2 Baths|1,250 Sq. Ft.|1671 Colby Ave., Los Angeles, CA 90025|$2,495.00|+1 310-473-3000|ca/los-angeles/colby-west-lp/default.aspx|s3/2/9707/photo%20jan%2014,%202%2057%2046%20pm%20(3).jpg
Montana View by Wiseman|Apartment|1-3 Beds|1-2 Baths|900 to 1,200 Sq. Ft.|11920 Montana Avenue, Los Angeles, CA 90049|$4,195.00 to $4,495.00|+1 213-444-3998|ca/los-angeles/mountain-view6/default.aspx|s3/2/9707/montana%20view%20-community%20thumbnail.jpg
Gorham Fourteen by Wiseman|Apartment|1-2 Beds|1-2 Baths|—|11933 Gorham Ave, Los Angeles, CA 90049|$2,595.00|+1 619-384-1617|ca/los-angeles/gorham-14-lp/default.aspx|s3/2/9707/gorham%20fourteen%20-%20community%20thumbnail.jpg
Darlington Home by Wiseman|Apartment|1-2 Beds|1-2 Baths|645 to 1,006 Sq. Ft.|11933 Darlington Ave, Los Angeles, CA 90049|$3,495.00|+1 310-473-3000|ca/los-angeles/darlington-home-lp/default.aspx|s3/2/9707/darlington%20home%20-%20community%20thumbnail.jpg
Kiowa Hollow by Wiseman|Apartment|Studio-2 Beds|1-2 Baths|—|11829 Kiowa Ave, Los Angeles, CA 90049|$2,205.00 to $2,295.00|+1 310-473-3000|ca/los-angeles/kiowa-hollow-lp/default.aspx|s3/2/9707/kiowa%20hollow%20-%20community%20thunbnail.jpg
Motor Tides by Wiseman|Apartment, Culver City|1-4 Beds|1-4 Baths|374 to 1,248 Sq. Ft.|3557 Motor Avenue, Los Angeles, CA 90034|$3,745.00 to $4,695.00|+1 213-286-9912|ca/los-angeles/motor-tabor-by-wiseman/default.aspx|s3/2/9707/rsz_2motor_jpeg_1.jpg
Santa Monica Federal by Wiseman|Apartment, West LA|Studio-3 Beds|1-3 Baths|500 to 1,516 Sq. Ft.|1518 Federal Ave., Los Angeles, CA 90025|$4,995.00|+1 310-473-3000|ca/los-angeles/santamonica-at-federal/default.aspx|s3/3/90951/ca_losangeles_santamonicaatfederal_p0095236_01_phfeat_ext40_5_thumbnail.jpg
Colby at Ohio by Wiseman|Apartment, West LA|1-4 Beds|1-4 Baths|600 to 1,551 Sq. Ft.|1515 Colby Avenue, Los Angeles, CA 90025|$2,995.00 to $4,795.00|+1 310-954-6797|ca/los-angeles/colby-at-ohio/default.aspx|s3/3/789259/1515colby-105.jpg
Ohio Sawtelle by Wiseman|Apartment, West LA|1-3 Beds|1-3 Baths|700 to 1,100 Sq. Ft.|11551 Ohio Ave, Los Angeles, CA 90025|$3,395.00|+1 760-583-1721|ca/los-angeles/ohio-sawtelle-llc/default.aspx|s3/2/9707/rsz_11551_ohio_ave_exterior_-5.jpg
Granville Elegance by Wiseman|Apartment|Studio-1 Beds|0-1.5 Baths|1,020 Sq. Ft.|1025 Granville Avenue, Los Angeles, CA 90049|$2,695.00 to $3,695.00|+1 323-813-1025|ca/los-angeles/granville-ellegance-lp/default.aspx|s3/2/9707/granville%20elegance%20-%20community%20thumbnail.jpg
Purdue Ohio by Wiseman|Apartment, West LA|3-4 Beds|3-4 Baths|1,490 to 2,148 Sq. Ft.|1500 Purdue Ave, Los Angeles, CA 90025|$4,995.00 to $5,095.00|+1 310-402-4547|ca/los-angeles/purdue-ohio/default.aspx|s3/2/9707/1500purdue-106%20(3).jpg
Butler Cabana by Wiseman|Apartment, West LA|Studio-3 Beds|1-2.5 Baths|400 to 1,500 Sq. Ft.|1417 Butler Ave, Los Angeles, CA 90025|$4,995.00|+1 310-402-4547|ca/los-angeles/butler-cabana/default.aspx|s3/3/90970/1407butler-106.jpg
Santa Monica Breeze by Wiseman|Apartment, West LA|1-3 Beds|1-3 Baths|617 to 1,314 Sq. Ft.|1539 Purdue Ave., Los Angeles, CA 90025|$3,795.00 to $4,299.75|+1 310-817-1125|ca/los-angeles/santa-monica-breeze-llc/default.aspx|s3/2/9707/image0.jpeg
Darlington Legacy by Wiseman|Apartment, Brentwood|2-3 Beds|2-3 Baths|855 to 1,592 Sq. Ft.|11668 Darlington Ave, Los Angeles, CA 90049|$4,995.00|+1 310-473-3000|ca/los-angeles/darlington-legacy/default.aspx|s3/2/9707/darlington%20legacy%20-%20exterior%20edited.jpg
Bentley Woodland by Wiseman|Apartment, West LA|Studio-3 Beds|1-2 Baths|1,250 Sq. Ft.|1821 S Bentley Ave, Los Angeles, CA 90025|$3,495.00|+1 310-817-1125|ca/los-angeles/bentley-woodland-lp/default.aspx|s3/2/9707/photo%20may%2025,%205%2005%2021%20pm(1).jpg
605 Barrington by Wiseman|Apartment, Brentwood|1-2 Beds|1-2 Baths|—|605 S. Barrington Ave, Los Angeles, CA 90049|$3,195.00 to $3,295.00|+1 619-384-1617|ca/los-angeles/605-barrington-lp/default.aspx|s3/2/9707/605%20barrington%20-%20community%20thumbnail%20copy.png
Kelton Madera by Wiseman|Apartment, Brentwood|1-4 Beds|1-4 Baths|1,604 Sq. Ft.|1819 Kelton Avenue, Los Angeles, CA 90025|$5,145.00 to $5,395.00|+1 213-260-1446|ca/los-angeles/kelton-madera/default.aspx|s3/3/656650/1819kelton%20105(1).jpg
Overland Century by Wiseman|Apartment, West LA|1-3 Beds|1-2 Baths|—|1920 Overland Ave, Los Angeles, CA 90025|$3,295.00|+1 424-525-2005|ca/los-angeles/overland-century-lp/default.aspx|s3/2/9707/overland%20century%20-%20community%20thumbnail%20(newly%20painted%202026).jpg
Selby Venti by Wiseman|Apartment, West LA|4-5 Beds|4-5 Baths|1,517 to 1,877 Sq. Ft.|1830 Selby Avenue, Los Angeles, CA 90025|$5,995.00 to $6,595.00|+1 424-525-2005|ca/los-angeles/1822-selby-llc/default.aspx|s3/2/9707/rsz_1830_selby_ave_exteriors-4.jpg
Louisiana Glen by Wiseman|Apartment, West LA|2-5 Beds|1-5 Baths|—|10405 Louisiana Ave., Los Angeles, CA 90025|Call for Details|+1 310-853-1532|ca/los-angeles/louisiana-glen-lp/default.aspx|s3/2/9707/rsz_110405_louisiana_ave_exteriors-3_1.jpg
Century City Icon by Wiseman|Apartment|Studio-2 Beds|1-2 Baths|393 to 1,127 Sq. Ft.|10473 Santa Monica Boulevard, Los Angeles, CA 90025|$3,445.00 to $4,045.00|+1 424-525-2005|ca/los-angeles/century-city-icon/default.aspx|s3/2/9707/rsz_1century_city_icon_-_exterior_.jpg
Fox Hills Dr by Wiseman|Apartment|1-3 Beds|1-3.5 Baths|1,250 to 1,707 Sq. Ft.|2250 Fox Hills Dr., Los Angeles, CA 90064|$5,195.00|+1 310-473-3000|ca/los-angeles/fox-hills-dr/default.aspx|s3/2/9707/fox%20hills%20dr%20-%20community%20thumbnail.jpg
Sherbourne Hall by Wiseman|Apartment, Hollywood|2-3 Beds|2.5 Baths|1,550 Sq. Ft.|1240 S. Sherbourne Drive, Los Angeles, CA 90035|$3,995.00|+1 213-807-3765|ca/los-angeles/sherbourne-hall/default.aspx|s3/3/90971/1240sherbourne-106.jpg
Hi Point Terrace by Wiseman|Apartment, Hollywood|Studio-3 Beds|0-4 Baths|353 to 1,714 Sq. Ft.|1500 Hi Point, Los Angeles, CA 90035|$2,995.00 to $5,595.00|+1 213-262-4712|ca/los-angeles/the-hi-point-by-wiseman/default.aspx|s3/2/9707/rsz_1500_hi_point_st_exterior-no_shadows-1%20(1).jpg
Ogden Garden by Wiseman|Apartment, Hollywood|Studio-2 Beds|1-2 Baths|380 to 1,011 Sq. Ft.|951 S. Ogden Drive, Los Angeles, CA 90036|$2,595.00 to $3,595.00|+1 714-797-5099|ca/los-angeles/ogden-garden-lp/default.aspx|s3/2/9707/ogden%20garden%20-%20community%20thumbnail.jpg
Blackburn La Cienega by Wiseman|Apartment, Hollywood|Studio-5 Beds|0-5 Baths|763 to 1,733 Sq. Ft.|8457 Blackburn Ave, Los Angeles, CA 90048|$3,295.00 to $5,995.00|+1 310-994-1297|ca/los-angeles/blackburn-la-cienega-lp/default.aspx|s3/2/9707/rsz_8457_blackburn_ave_street_edit-3.jpg
Blackburn Beverly by Wiseman|Apartment, Hollywood|Studio-2 Beds|1-2 Baths|550 to 940 Sq. Ft.|8403 Blackburn Ave., Los Angeles, CA 90048|$3,995.00 to $4,195.00|+1 213-807-3765|ca/los-angeles/blackburn-beverly-lp/default.aspx|s3/2/9707/rsz_8403_blackburn_ave_exterior_-_remove_parking_sign_.jpg
Orlando on Third by Wiseman|Apartment, Hollywood|2-3 Beds|2-3 Baths|983 to 1,494 Sq. Ft.|120 South Orlando Ave., Los Angeles, CA 90048|$4,595.00|+1 310-994-1297|ca/los-angeles/orlando-on-third-llc/default.aspx|s3/3/511756/120sorlandostaged-205.jpg
Kings on Third by Wiseman|Apartment, Hollywood|2-3 Beds|2-3 Baths|1,002 to 1,614 Sq. Ft.|129 Kings Road, Los Angeles, CA 90048|$4,795.00|+1 310-994-1297|ca/los-angeles/kings-on-third/default.aspx|s3/3/604516/129kingsrd-305.jpg
Orlando on First by Wiseman|Apartment, Hollywood|3 Beds|3 Baths|1,266 to 1,600 Sq. Ft.|100 South Orlando Ave., Los Angeles, CA 90048|$4,595.00|+1 424-254-8806|ca/los-angeles/orlando-on-first/default.aspx|s3/3/1030854/100sorlando-105.jpg
Rimini by Wiseman|Apartment, Hollywood|2-3 Beds|2-3 Baths|894 to 1,921 Sq. Ft.|106 S. Kings Road, Los Angeles, CA 90048|$5,395.00|+1 310-994-1297|ca/los-angeles/rimini-lp/default.aspx|s3/2/9707/rsz_106_s_kings_rd_exterior_-7%20(1).jpg
Croft Retreat by Wiseman|Apartment, Hollywood|Studio-4 Beds|1-4 Baths|410 to 1,670 Sq. Ft.|130 S Croft Avenue, Los Angeles, CA 90048|$4,495.00 to $4,595.00|+1 424-261-7101|ca/los-angeles/croft-retreat-lp/default.aspx|s3/2/9707/rsz_130_n_croft_ave_exterior-4.jpg
Croft Eleven by Wiseman|Apartment, Hollywood|1-2 Beds|1.5-2 Baths|—|111 S. Croft Avenue, Los Angeles, CA 90048|Call for Details|+1 213-807-3765|ca/los-angeles/croft-eleven-lp/default.aspx|s3/2/9707/rsz_111_s_croft_ave_exterior_-2.jpg
Sweetzer on Third by Wiseman|Apartment|2-3 Beds|1-2.5 Baths|750 to 1,756 Sq. Ft.|107 S. Sweetzer Ave, Los Angeles, CA 90048|$4,595.00 to $4,800.00|+1 213-807-3765|ca/los-angeles/sweetzer-third-lp/default.aspx|s3/2/9707/107%20sweetzerr%20exterior%202(1).jpeg
Hayworth Hyde by Wiseman|Apartment|2-3 Beds|2-3 Baths|960 to 1,728 Sq. Ft.|409 Hayworth Avenue, Los Angeles, CA 90048|$4,495.00 to $4,695.00|+1 310-963-8132|ca/los-angeles/hayworth-hyde-llc/default.aspx|s3/2/9707/409%20n%20hayworth%20ave%20exterior-01.jpg
Hayworth Abbey by Wiseman|Apartment|Studio-4 Beds|1-3 Baths|1,570 Sq. Ft.|429 Hayworth Avenue, Los Angeles, CA 90048|$1,700.00 to $4,595.00|+1 310-963-8132|ca/los-angeles/hayworth-abbey-lp/default.aspx|s3/2/9707/rsz_429_n_hayworth_ave_exterior_-02.jpg
Alfred Atlas by Wiseman|Apartment, Hollywood|1-2 Beds|1-2 Baths|—|939 North Alfred Street, Los Angeles, CA 90069|$3,995.00|+1 213-807-3765|ca/los-angeles/alfred-atlas-lp/default.aspx|s3/2/9707/aa%202%20appliances.jpeg
Edinburgh Courtyard by Wiseman|Apartment, Hollywood|2-4 Beds|2-3 Baths|1,650 Sq. Ft.|833 N. Edinburgh Avenue, Los Angeles, CA 90046|$3,695.00 to $4,595.00|+1 310-845-6394|ca/los-angeles/edinburgh-courtyard/default.aspx|s3/3/90952/833edinburgh-106.jpg
Wilcox Melrose by Wiseman|Apartment, Hollywood|3 Beds|3 Baths|1,269 to 1,547 Sq. Ft.|748 Wilcox Ave, Los Angeles, CA 90038|$3,895.00 to $4,150.00|+1 323-406-1112|ca/los-angeles/wilcox-melrose-llc/default.aspx|s3/3/550100/1(1).jpg
Hudson Lux by Wiseman|Apartment, Hollywood|2-4 Beds|1-4 Baths|1,095 to 1,609 Sq. Ft.|807 Hudson Ave., Los Angeles, CA 90038|$2,695.00 to $3,995.00|+1 323-406-1112|ca/los-angeles/hudson-lux-llc-0/default.aspx|s3/3/582556/1-807hudson-105(1).jpg
Cole Grove by Wiseman|Apartment, Hollywood|2-3 Beds|2-3 Baths|965 to 1,549 Sq. Ft.|711 Cole Avenue, Los Angeles, CA 90038|$3,322.80 to $4,195.00|+1 323-406-1112|ca/los-angeles/cole-grove/default.aspx|s3/3/604515/711cole-156.jpg
Waring Hudson by Wiseman|Apartment, Hollywood|Studio-3 Beds|0-3 Baths|1,054 to 1,377 Sq. Ft.|6217 Waring Avenue, Los Angeles, CA 90038|$4,095.00|+1 323-406-1112|ca/los-angeles/waring-hudson/default.aspx|s3/3/227366/3_227366_1607555.jpg
Martel Flats by Wiseman|Apartment|Studio-3 Beds|0-3 Baths|700 to 1,472 Sq. Ft.|1319 N. Martel Ave, Los Angeles, CA 90046|$3,895.00 to $4,295.00|+1 213-456-1684|ca/los-angeles/martel-flats/default.aspx|s3/2/9707/rsz_1319_n_martel_ave_exterior-01.jpg
Wilcox Bea by Wiseman|Apartment, Hollywood|2-3 Beds|1-3 Baths|900 to 1,518 Sq. Ft.|850 Wilcox Ave., Los Angeles, CA 90038|$4,100.00 to $4,217.85|+1 323-406-1112|ca/los-angeles/wilcox-bea/default.aspx|s3/3/726789/850wilcox-105(1).jpg
Formosa Fountain by Wiseman|Apartment, Hollywood|Studio-3 Beds|0-3 Baths|298 to 1,819 Sq. Ft.|1338 Formosa Ave., Los Angeles, CA 90046|$4,495.00|+1 310-963-8132|ca/los-angeles/formosa-fountain/default.aspx|s3/3/1086901/1338formosa-205.jpg
Gramercy Park by Wiseman|Apartment, Hollywood|Studio-3 Beds|0-2 Baths|1,442 Sq. Ft.|518 N Gramercy Pl., Los Angeles, CA 90004|$2,495.00 to $2,745.00|+1 213-456-1684|ca/los-angeles/gramercy-place0/default.aspx|s3/3/1106176/518gramercy-106.jpg
Poinsettia Sunset by Wiseman|Apartment, Hollywood|3 Beds|2-3 Baths|1,060 to 1,520 Sq. Ft.|1439 N. Poinsettia Place, Los Angeles, CA 90046|$3,995.00 to $4,395.00|+1 310-963-8132|ca/los-angeles/poinsettia-sunset/default.aspx|s3/2/9707/rsz_1439_poinsettia_pl_exteriors-3.jpg
Hawthorn at Poinsettia by Wiseman|Apartment, Hollywood|1-3 Beds|1-3 Baths|800 to 1,470 Sq. Ft.|7260 Hawthorn Avenue, Los Angeles, CA 90046|$4,095.00|+1 213-456-1684|ca/los-angeles/hawthorn-at-poinsettia/default.aspx|s3/2/9707/old%20hawthorn%20exterior_final.jpg
Sunset Rise by Wiseman|Apartment, Hollywood|Studio-3 Beds|1-3 Baths|330 to 1,200 Sq. Ft.|1446 N. Detroit St, Los Angeles, CA 90046|Call for Details|+1 310-963-8132|ca/los-angeles/sunset-rise-llc/default.aspx|s3/2/9707/sunset%20rise%20-%20exterior%203(1).jpg
Purdue Point by Wiseman|Apartment, West LA|—|—|—|1515 Purdue Ave, Los Angeles, CA 90025|Call for Details|+1 310-473-3000|ca/los-angeles/purdue-point/default.aspx|
